DMG,Shield throw,140,4,2,DIRECTIONAL,2,150,
HEL,I can do this all day,50,0,1,SELFTARGET,2,150,
CC,Shield Up,90,0,2,SELFTARGET,3,Shield,2
HEL,Try Harder,100,0,3,SELFTARGET,2,300,
DMG,8 bullets left,100,1,3,SURROUND,3,200,
CC,Can't Catch Me,0,0,3,SELFTARGET,1,Dodge,2
CC,The eye of agamotto,80,8,4,TEAMTARGET,3,PowerUp,3
DMG,Thousand Hand,120,1,2,SURROUND,3,300,
CC,Mirror Dimension,100,5,2,SINGLETARGET,3,Stun,2
DMG,Fully Charged,100,3,2,SINGLETARGET,2,300,
CC,EMP,100,1,2,SURROUND,3,Shock,3
DMG,Lightning Strike,150,3,3,DIRECTIONAL,2,200,
CC,Death stare,70,1,2,SINGLETARGET,2,Stun,2
DMG,Fire Breath,100,3,3,DIRECTIONAL,3,250,
DMG,Chain Whip,80,1,2,SURROUND,2,200,
CC,Godess of Death,80,8,3,TEAMTARGET,3,Shock,2
CC,Thorn Shield,100,8,3,TEAMTARGET,2,Shield,3
DMG,Thorn Shower,120,1,3,SURROUND,3,250,
CC,Rage,0,0,1,SELFTARGET,1,PowerUp,3
DMG,Hulk Smash,100,1,3,SURROUND,3,500,
HEL,Sun is getting real low,80,0,2,SELFTARGET,2,400,
CC,Frost bite,120,3,2,DIRECTIONAL,3,Shock,2
DMG,SubZero,100,1,3,SURROUND,2,300,
DMG,Hail Storm,80,3,3,DIRECTIONAL,2,300,
DMG,I am Ironman,150,8,4,TEAMTARGET,3,200,
DMG,Unibeam,150,4,3,DIRECTIONAL,2,200,
CC,3000,150,8,3,TEAMTARGET,2,PowerUp,2
CC,God of Mischief,80,0,3,SELFTARGET,3,Dodge,2
DMG,The Hidden Dagger,100,1,2,SINGLETARGET,2,300,
HEL,Fake Death,100,0,4,SELFTARGET,3,400,
CC,Time in a bottle,0,0,1,SELFTARGET,1,SpeedUp,5
HEL,Good as new,80,2,3,SELFTARGET,3,200,
DMG,1 sec 100 punch,100,1,4,SINGLETARGET,4,400,
CC,give me that,80,4,3,SINGLETARGET,2,Disarm,2
CC,web trap,150,1,4,SURROUND,3,Silence,2
DMG,Spiderverse,75,3,3,DIRECTIONAL,3,350,
CC,God of Thunder,0,0,2,SELFTARGET,1,PowerUp,2
DMG,Mjollnir Throw,100,8,2,SINGLETARGET,3,200,
DMG,Bring Me Thanos,170,2,3,SURROUND,4,300,
DMG,Head Bite,100,1,4,SINGLETARGET,4,750,
CC,We are venom,80,0,3,SELFTARGET,2,PowerUp,3
CC,Symbiosis,90,1,3,SINGLETARGET,2,Root,2
DMG,Laser Sting,100,2,2,TEAMTARGET,3,400,
HEL,QuANTaMANia,140,2,2,TEAMTARGET,3,150,
CC,Pym Particle Upsize,150,2,3,TEAMTARGET,3,PowerUp,2
